placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
CJG6E90,Toyota,Etios,passeio,2019,branco,particular,gasolina,Joinville,0,0
LGE3W54,Suzuki,Yes 125,moto,2020,cinza,aluguel,flex,Brusque,0,2
DFT3M66,Honda,Fit,passeio,2005,branco,particular,gasolina,Criciúma,0,3
DIT1K44,Honda,Fit,passeio,2019,branco,aluguel,flex,Blumenau,0,3
LPQ4Q04,Yamaha,XTZ 150,moto,2018,cinza,particular,flex,Itajaí,0,0
OZF4T60,Yamaha,XTZ 150,moto,2012,prata,particular,gasolina,Florianópolis,0,3
EDU0V74,Jeep,Commander,SUV,2023,preto,particular,gasolina,Florianópolis,0,2
NSG5T18,Yamaha,Fazer 250,moto,2020,preto,aluguel,flex,Joinville,0,1
KDC5R47,Peugeot,2008,SUV,2023,preto,particular,gasolina,Blumenau,0,2
TLQ8A83,Jeep,Compass,utilitário,2022,branco,particular,flex,Itajaí,1,3
QBX5D38,Fiat,Uno,passeio,2023,vermelho,particular,flex,Blumenau,0,0
XDV1P53,Toyota,Yaris,passeio,2022,prata,particular,flex,Itajaí,0,1
NWL8O46,Suzuki,Yes 125,moto,2019,cinza,particular,flex,Joinville,0,2
HMU8I04,Renault,Duster,SUV,2024,preto,particular,flex,Florianópolis,0,1
MHZ0F43,Chevrolet,S10,caminhão,2017,cinza,particular,diesel,São José,0,1
FWP0N09,Chevrolet,Spin,SUV,2008,prata,aluguel,diesel,Palhoça,0,1
FGJ3N89,Ford,Fiesta,passeio,2018,preto,particular,flex,Chapecó,0,0
GRK5N95,Jeep,Compass,SUV,2005,branco,particular,flex,Chapecó,0,2
YOD3H41,Honda,City,passeio,2021,cinza,particular,álcool,Joinville,0,2
YSL9E71,Yamaha,Fazer 250,moto,2025,cinza,aluguel,gasolina,Florianópolis,0,3
HET2O85,Yamaha,XTZ 150,moto,2021,preto,particular,gasolina,Chapecó,0,3
SQY4U77,Jeep,Renegade,SUV,2022,cinza,particular,elétrico,Itajaí,0,0
SVY4Y77,Renault,Kwid,passeio,2010,prata,aluguel,flex,Criciúma,0,3
JQY3O14,Suzuki,Intruder 250,moto,2025,preto,particular,flex,São José,0,3
WLO5Y40,Yamaha,Factor 125,moto,2025,verde,particular,gasolina,Itajaí,0,1
MUT6X74,Hyundai,Creta,SUV,2017,cinza,particular,flex,Florianópolis,0,2
LLM8Y50,Peugeot,Partner,utilitário,2022,prata,particular,flex,Palhoça,0,3
ENK3I42,Ford,Ranger,caminhão,2008,branco,particular,diesel,Itajaí,0,1
QEB4B99,Ford,Fiesta,passeio,2022,marrom,particular,gasolina,Xanxerê,0,2
THQ5Y86,Hyundai,Creta,SUV,2019,preto,particular,flex,Balneário Camboriú,0,0
QXV7J93,Ford,Ranger,caminhão,2024,preto,particular,diesel,Florianópolis,0,3
SNE9R25,Hyundai,HB20,passeio,2021,preto,particular,flex,Florianópolis,0,0
XHI1S80,Toyota,Corolla,passeio,2019,cinza,particular,flex,Joinville,0,2
FZZ9I96,Volkswagen,Polo,passeio,2010,prata,particular,flex,Palhoça,0,2
SHN4B76,Hyundai,Tucson,SUV,2018,cinza,particular,gasolina,São José,0,0
DLZ1I02,Honda,Fit,passeio,2007,branco,particular,gasolina,Joinville,0,0
GSF0P78,Suzuki,Intruder 250,moto,2019,prata,particular,flex,Xanxerê,0,1
DUZ1O69,Chevrolet,S10,caminhão,2020,cinza,particular,diesel,Laguna,0,2
RGN2L32,Renault,Duster,SUV,2007,prata,particular,flex,Florianópolis,0,3
BXK5N62,Ford,Ka,passeio,2019,branco,aluguel,flex,Itajaí,0,2
VSA0W19,Renault,Logan,passeio,2024,cinza,particular,flex,Brusque,0,2
VIN1U72,Fiat,Mobi,passeio,2016,amarelo,particular,gasolina,Criciúma,0,2
UKW3E61,Chevrolet,Onix,passeio,2019,cinza,particular,gasolina,Criciúma,0,2
AJQ1H48,Jeep,Renegade,SUV,2015,prata,particular,flex,Balneário Camboriú,0,1
LQD3C54,Hyundai,Tucson,SUV,2019,branco,aluguel,flex,Itajaí,0,3
ZOT4M92,Honda,City,passeio,2024,prata,particular,diesel,Florianópolis,0,1
FCG3Z47,Volkswagen,Polo,passeio,2015,prata,particular,flex,Criciúma,1,15
CYZ2U72,Ford,Ka,passeio,2018,prata,aluguel,flex,Criciúma,0,3
XIR1B54,Fiat,Toro,utilitário,2008,cinza,particular,flex,Xanxerê,0,2
XJQ4Q04,Ford,Fusion,passeio,2005,branco,aluguel,flex,Rio do Sul,0,1
BJI9H57,Honda,Civic,passeio,2009,branco,particular,flex,Jaraguá do Sul,1,3
MXY8X12,Ford,Ka,passeio,2014,azul,particular,flex,Blumenau,0,1
FJL2Q38,Honda,City,passeio,2018,marrom,particular,flex,Blumenau,0,1
MEG0W47,Renault,Logan,passeio,2013,branco,particular,flex,Lages,0,3
XVH4W51,Renault,Logan,passeio,2024,preto,aluguel,flex,Palhoça,0,0
IHY1B07,Toyota,Yaris,passeio,2008,branco,particular,flex,Joinville,0,3
CHM3T31,Volkswagen,Voyage,passeio,2025,vermelho,particular,diesel,Palhoça,0,0
ZMX5H40,Peugeot,2008,SUV,2024,cinza,particular,gasolina,Lages,1,7
QND6E50,Jeep,Renegade,SUV,2025,branco,particular,flex,Palhoça,0,0
PBB4P08,Suzuki,Yes 125,moto,2024,preto,particular,flex,Blumenau,0,3
TPA4C75,Suzuki,Yes 125,moto,2023,vermelho,particular,gasolina,Joinville,1,2
CLW7J30,Volkswagen,Voyage,passeio,2022,laranja,particular,flex,Lages,0,2
UJG9Q59,Chevrolet,Spin,SUV,2020,branco,particular,flex,Brusque,0,0
COD3H44,Fiat,Uno,passeio,2022,azul,particular,flex,Chapecó,0,0
RWQ9R71,Renault,Duster,SUV,2006,prata,particular,flex,Tubarão,0,0
YVW9C90,Peugeot,Partner,utilitário,2022,prata,particular,flex,São José,1,2
KPO2M46,Chevrolet,Spin,SUV,2024,preto,particular,flex,Tubarão,0,1
JYE9Z55,Toyota,SW4,SUV,2020,cinza,particular,flex,Rio do Sul,0,1
NFL7Q16,Honda,City,passeio,2023,preto,particular,flex,Concórdia,0,0
RKD7X54,Ford,Ranger,caminhão,2009,preto,particular,diesel,Itajaí,0,0
RYD3D71,Peugeot,2008,SUV,2020,preto,particular,flex,Joinville,0,3
IAI9P08,Jeep,Compass,SUV,2013,preto,aluguel,flex,Araranguá,0,0
BYB5E93,Volkswagen,Polo,passeio,2021,prata,particular,flex,Criciúma,0,1
UXN4V82,Volkswagen,Gol,passeio,2018,branco,aluguel,flex,Blumenau,0,3
MMH2B94,Ford,Fusion,passeio,2012,verde,particular,flex,Brusque,0,2
