placa,marca,modelo,tipo,ano,cor,categoria,combustivel,cidade_emplacamento,clonado,num_infracoes
LYU5E12,Toyota,Etios,passeio,2014,amarelo,particular,flex,Jaraguá do Sul,0,3
XTN2A60,Chevrolet,Spin,SUV,2010,cinza,particular,flex,Blumenau,0,0
MHJ0F07,Fiat,Uno,passeio,2007,vermelho,particular,flex,Chapecó,0,3
DLG1W15,Chevrolet,S10,caminhão,2024,branco,particular,diesel,Lages,0,0
AUC2G91,Suzuki,Yes 125,moto,2019,preto,particular,gasolina,Florianópolis,0,2
YHE5Y09,Suzuki,Intruder 250,moto,2020,prata,particular,gasolina,Lages,0,3
WFJ4W64,Renault,Sandero,passeio,2012,cinza,particular,gasolina,Blumenau,0,3
CEL6P58,Honda,CG 160,moto,2025,branco,particular,gasolina,Blumenau,0,1
MHS6J82,Jeep,Compass,SUV,2020,prata,aluguel,flex,Florianópolis,0,0
MXW0V86,Jeep,Compass,SUV,2023,prata,particular,flex,Palhoça,0,3
EQB4C56,Toyota,SW4,SUV,2022,cinza,particular,flex,Itajaí,0,0
BRH2V51,Peugeot,2008,SUV,2013,vermelho,particular,flex,Palhoça,0,0
FLS5G96,Yamaha,Factor 125,moto,2022,prata,particular,flex,Chapecó,0,0
PCE4X00,Toyota,Corolla,passeio,2020,marrom,particular,flex,Concórdia,0,3
UJO8D51,Honda,Fit,passeio,2020,preto,particular,flex,Florianópolis,0,3
WQT0L53,Toyota,Yaris,passeio,2021,branco,particular,gasolina,Criciúma,0,2
MVI6T83,Chevrolet,Prisma,passeio,2025,preto,particular,flex,Joinville,0,1
NEU0D61,Honda,HR-V,SUV,2006,cinza,particular,flex,Florianópolis,0,3
DQY1S09,Chevrolet,Onix,passeio,2018,branco,aluguel,flex,Chapecó,0,3
VIP5P62,Chevrolet,Onix,passeio,2023,branco,particular,gasolina,Tubarão,0,1
MTL5Q34,Toyota,SW4,SUV,2025,branco,aluguel,flex,Chapecó,0,3
JPP5P71,Hyundai,HB20,passeio,2022,marrom,particular,gasolina,Blumenau,0,3
OMZ8C89,Yamaha,XTZ 150,moto,2019,amarelo,particular,gasolina,Jaraguá do Sul,0,3
LWR6A55,Fiat,Toro,utilitário,2020,preto,particular,flex,Xanxerê,0,3
NAJ8W69,Renault,Logan,passeio,2022,amarelo,particular,elétrico,Joinville,0,0
TKD8Z79,Peugeot,308,passeio,2022,branco,particular,flex,Balneário Camboriú,0,0
YDM2N57,Honda,City,passeio,2021,preto,particular,flex,Itajaí,0,1
UIZ7H88,Hyundai,HB20,passeio,2018,preto,particular,flex,Chapecó,0,3
QIM4P37,Fiat,Uno,passeio,2020,cinza,aluguel,flex,Balneário Camboriú,0,2
WNJ0A96,Yamaha,XTZ 150,moto,2022,cinza,particular,gasolina,Lages,0,3
LUT7X56,Renault,Sandero,passeio,2021,preto,aluguel,flex,Chapecó,0,3
FMX5R90,Jeep,Renegade,SUV,2024,azul,particular,flex,Balneário Camboriú,0,2
CRO8U54,Chevrolet,Spin,SUV,2018,cinza,particular,gasolina,Palhoça,0,0
ZPM2Q78,Toyota,Hilux,utilitário,2022,cinza,particular,gasolina,Florianópolis,0,2
PLC1W96,Chevrolet,Spin,SUV,2022,cinza,particular,diesel,Blumenau,0,0
JHV4G34,Toyota,Etios,passeio,2018,preto,particular,flex,Itajaí,0,1
PRK3B63,Renault,Logan,passeio,2018,preto,particular,flex,Araranguá,0,1
HAP2I32,Chevrolet,Tracker,SUV,2025,preto,particular,gasolina,Rio do Sul,0,1
YYG9J57,Yamaha,Factor 125,moto,2024,prata,particular,gasolina,Caçador,0,0
NPK9O59,Suzuki,Yes 125,moto,2009,branco,aluguel,gasolina,Chapecó,0,0
LRZ6A88,Suzuki,Intruder 250,moto,2023,prata,particular,gasolina,Araranguá,0,3
ZMX9A59,Honda,City,passeio,2023,cinza,particular,flex,Palhoça,0,3
ZCJ0K25,Hyundai,Azera,passeio,2020,branco,particular,flex,Canoinhas,0,3
UPP6K53,Suzuki,Yes 125,moto,2016,branco,particular,flex,Lages,0,2
PNC5C79,Yamaha,XTZ 150,moto,2023,verde,particular,flex,Florianópolis,0,3
AGY5I62,Chevrolet,S10,caminhão,2018,branco,particular,flex,Chapecó,0,1
LGZ9J20,Yamaha,Fazer 250,moto,2011,preto,particular,flex,Criciúma,0,3
JZC7W45,Jeep,Compass,SUV,2021,laranja,particular,flex,Itajaí,0,2
LGR5F65,Hyundai,Creta,SUV,2022,branco,aluguel,flex,Chapecó,0,3
XTG7H55,Volkswagen,Virtus,passeio,2018,branco,aluguel,flex,Itajaí,0,0
KJK3M43,Hyundai,HB20,passeio,2012,prata,particular,álcool,Palhoça,0,0
DFZ8A14,Renault,Duster,SUV,2014,verde,particular,flex,Blumenau,0,0
IQH6U21,Chevrolet,Tracker,SUV,2017,preto,particular,flex,Criciúma,0,0
LUP2V30,Honda,Civic,passeio,2018,prata,aluguel,flex,Lages,0,3
MLT4P86,Chevrolet,Prisma,passeio,2022,preto,particular,flex,Balneário Camboriú,0,1
LEN1K28,Renault,Duster,SUV,2022,cinza,particular,gasolina,Florianópolis,0,0
DQU5P55,Honda,Fit,passeio,2020,branco,particular,gasolina,Criciúma,0,1
FXC3A48,Jeep,Renegade,SUV,2025,cinza,particular,flex,Balneário Camboriú,0,2
MEM8S37,Fiat,Mobi,passeio,2025,preto,particular,flex,Itajaí,0,2
PRO2Z17,Honda,Fit,passeio,2025,prata,particular,gasolina,Florianópolis,0,2
DGY2C66,Suzuki,Yes 125,moto,2018,cinza,particular,flex,Xanxerê,0,2
DMX6S98,Ford,Ranger,caminhão,2023,prata,particular,diesel,São José,0,1
ALA4U00,Chevrolet,Prisma,passeio,2023,amarelo,particular,flex,Joinville,0,0
POQ2E15,Suzuki,Intruder 250,moto,2006,cinza,particular,flex,Laguna,0,2
VEG1T71,Yamaha,Fazer 250,moto,2023,prata,particular,flex,Joinville,0,2
IBK4N92,Fiat,Uno,passeio,2020,cinza,oficial,flex,Itajaí,0,2
KQN0N06,Hyundai,Tucson,SUV,2017,verde,particular,flex,Xanxerê,0,1
FCA3B45,Volkswagen,Gol,passeio,2014,preto,particular,flex,Chapecó,0,2
PNY1S95,Volkswagen,T-Cross,SUV,2019,vermelho,particular,gasolina,São José,0,0
BBB6O94,Jeep,Commander,SUV,2023,azul,aluguel,diesel,Joinville,0,3
QCA8P18,Renault,Sandero,passeio,2024,prata,particular,flex,Lages,0,0
LZO7S85,Yamaha,Factor 125,moto,2019,vermelho,particular,gasolina,Laguna,0,1
FPU3B45,Honda,Civic,passeio,2018,cinza,particular,gasolina,Florianópolis,0,0
CAN1Q94,Yamaha,XTZ 150,moto,2021,cinza,particular,flex,Chapecó,0,1
CHM4K18,Ford,Ranger,caminhão,2022,branco,particular,diesel,Caçador,0,1
AFC8Q20,Ford,Ranger,caminhão,2015,preto,particular,diesel,Blumenau,0,2
ESN0R28,Peugeot,208,passeio,2023,prata,particular,flex,Chapecó,0,2
TIH0P04,Ford,Fusion,passeio,2005,amarelo,particular,flex,Blumenau,0,2
OSN4Q31,Peugeot,Partner,utilitário,2016,branco,particular,gasolina,Joinville,0,2
ZWC9P26,Chevrolet,Onix,passeio,2019,cinza,particular,flex,Araranguá,0,1
ABS4I02,Jeep,Compass,SUV,2011,preto,particular,flex,Itajaí,0,1
QAV7U29,Renault,Duster,SUV,2023,cinza,particular,gasolina,São José,0,2
PWT9D97,Chevrolet,S10,caminhão,2019,preto,particular,diesel,Chapecó,0,3
YGQ8E75,Toyota,Corolla,passeio,2008,branco,particular,flex,Palhoça,0,1
QRU1J61,Hyundai,Tucson,SUV,2020,preto,particular,flex,Florianópolis,0,3
LGA2S46,Chevrolet,Tracker,SUV,2018,cinza,particular,gasolina,Blumenau,0,1
YKH5L20,Chevrolet,Onix,passeio,2011,prata,particular,flex,Itajaí,0,3
WAB4R46,Volkswagen,Polo,passeio,2025,cinza,particular,flex,Lages,0,1
JVZ0I84,Volkswagen,T-Cross,SUV,2014,cinza,aluguel,flex,Blumenau,0,2
QLQ4A04,Fiat,Argo,passeio,2022,preto,particular,flex,Blumenau,0,1
ZCG9I45,Jeep,Renegade,SUV,2024,branco,particular,flex,Chapecó,0,2
CHD8Z17,Yamaha,Factor 125,moto,2023,vermelho,particular,gasolina,Blumenau,0,3
COK3M42,Suzuki,Yes 125,moto,2021,prata,aluguel,flex,Blumenau,0,2
JCY0J94,Ford,Fiesta,passeio,2023,preto,particular,flex,Laguna,0,2
AXI8R03,Yamaha,XTZ 150,moto,2013,cinza,particular,gasolina,Jaraguá do Sul,0,3
FVF7R16,Yamaha,XTZ 150,moto,2022,branco,particular,flex,Laguna,0,2
VJK6W38,Hyundai,Creta,SUV,2007,cinza,particular,flex,Criciúma,0,0
HJY3H56,Hyundai,HB20,passeio,2018,prata,particular,flex,Balneário Camboriú,0,0
BEK4X92,Fiat,Toro,utilitário,2024,cinza,aluguel,diesel,Criciúma,0,0
KWG6W26,Suzuki,Intruder 250,moto,2017,preto,particular,flex,Itajaí,0,3
KCG7M65,Fiat,Toro,utilitário,2024,branco,particular,diesel,Palhoça,0,1
YUC3F39,Hyundai,Tucson,SUV,2020,azul,particular,flex,São José,0,3
XTT8G78,Yamaha,Factor 125,moto,2021,cinza,particular,gasolina,Criciúma,0,2
ZSC9N29,Hyundai,HB20,passeio,2019,preto,particular,gasolina,Laguna,0,0
JDJ4Z12,Chevrolet,Spin,SUV,2025,marrom,aluguel,flex,Lages,0,0
IDU5T37,Volkswagen,Virtus,passeio,2022,preto,particular,flex,Joinville,0,2
WYG0A14,Honda,City,passeio,2018,preto,particular,flex,Chapecó,0,0
HHB9G80,Toyota,Hilux,utilitário,2024,cinza,particular,flex,Lages,0,2
CZQ7D34,Peugeot,208,passeio,2024,branco,particular,flex,Itajaí,0,3
VIO0R41,Volkswagen,Polo,passeio,2025,cinza,aluguel,flex,Blumenau,0,2
ULK3S02,Peugeot,308,passeio,2025,cinza,particular,flex,Florianópolis,0,3
AMZ9O78,Honda,HR-V,SUV,2025,verde,particular,flex,Criciúma,0,1
KKR8P05,Toyota,SW4,SUV,2005,laranja,particular,flex,Itajaí,0,3
WZB7N69,Yamaha,Factor 125,moto,2010,cinza,particular,gasolina,Chapecó,0,0
YQN4C27,Ford,Ranger,caminhão,2020,preto,particular,flex,Balneário Camboriú,0,2
BED8B11,Honda,CG 160,moto,2019,prata,particular,gasolina,Chapecó,0,1
KCJ0Y34,Peugeot,Partner,utilitário,2020,preto,aluguel,gasolina,Criciúma,0,0
XQR3S54,Toyota,Corolla,passeio,2024,branco,particular,flex,Itajaí,0,1
MIK9M65,Toyota,Etios,passeio,2022,prata,particular,diesel,Florianópolis,0,1
PJO6K19,Suzuki,Yes 125,moto,2018,verde,particular,flex,Balneário Camboriú,0,3
ERX7H84,Yamaha,XTZ 150,moto,2011,preto,particular,flex,Blumenau,0,0
FND2Y34,Honda,Civic,passeio,2018,marrom,aluguel,flex,Blumenau,0,0
EKO0B84,Fiat,Argo,passeio,2020,cinza,particular,flex,Itajaí,0,2
FUY2U74,Renault,Duster,SUV,2019,prata,particular,flex,Joinville,0,2
SQX0O96,Chevrolet,Prisma,passeio,2009,cinza,particular,flex,Chapecó,0,1
QKS9W72,Chevrolet,Prisma,passeio,2022,preto,particular,flex,São José,0,1
CYL8H80,Volkswagen,Voyage,passeio,2021,marrom,particular,flex,Tubarão,0,0
WAE0C56,Honda,Fit,passeio,2021,marrom,particular,flex,Blumenau,0,1
IRJ6H33,Fiat,Strada,utilitário,2016,cinza,particular,flex,Joinville,0,1
CVT8E50,Chevrolet,Prisma,passeio,2022,preto,particular,flex,Florianópolis,0,3
MFI0L78,Hyundai,Tucson,SUV,2014,branco,particular,diesel,Itajaí,0,3
RCK6E76,Fiat,Uno,passeio,2014,laranja,aluguel,flex,Joinville,0,3
QSU8E98,Hyundai,Azera,passeio,2023,preto,particular,flex,Lages,0,3
YQG8O95,Hyundai,Creta,SUV,2025,branco,aluguel,gasolina,Caçador,0,2
LVQ8K22,Peugeot,308,passeio,2024,prata,particular,flex,Caçador,0,2
